sep =|
LocationId|Location|Iso3|Iso2|LocationTypeId|IndicatorId|Indicator|IndicatorDisplayName|SourceId|Source|Revision|VariantId|Variant|VariantShortName|VariantLabel|TimeId|TimeLabel|TimeMid|CategoryId|Category|EstimateTypeId|EstimateType|EstimateMethodId|EstimateMethod|SexId|Sex|AgeId|AgeLabel|AgeStart|AgeEnd|AgeMid|Value
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|42|0|0|1|1|0.02576112
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|42|0|0|1|1|0.02640434
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|42|0|0|1|1|0.02607083
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|89|1|1|1|1|0.00311274
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|89|1|1|1|1|0.00308551
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|89|1|1|1|1|0.00309965
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|117|2|2|2|2|0.00111184
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|117|2|2|2|2|0.00114459
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|3|Both sexes|117|2|2|2|2|0.00112756
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|1|Male|126|3|3|3|3|0.00078791
356|India|IND|IN|4|80|Age specific mortality rate m(x,n) - complete|Age-specific mortality rates by single age and by sex|25|World Population Prospects|0|4|Median|Median|Median|72|2021|2021.5|0|Not applicable|1|Model-based Estimates|2|Interpolation|2|Female|126|3|3|3|3|0.00086813
